wat,Y/N,strava,name,massif,dept,acces,length,gradient,gain,alt,pre79HighestClassification,post79HighestClassification,passages,approach,info
501,N,15010444,Col d'Adelspach,V,,Sainte-Mairie-aux-Mines,9.5,5,,850,n/a,2,1,,
503,N,4896438,Col des Bagnelles,V,,Sainte-Mairie-aux-Mines,11,5,533,924,n/a,2,,,
504,Y,10052679,Ballon d'Alsace,V,,Saint-Maurice-sur-Moselle,8.7,7,,1160,1,1,,,
505,N,10401652,Ballon de Servance,V,,Plancher-les-Mines,10.9,6,,1150,n/a,2,,,
506,N,8084555,Col du Calvaire,V,,Fraize,15,4,,1144,3,2,,,
509,N,16636679,Collet du Linge,V,,Munster,9.2,6,,998,2,3,,,
510,N,4282253,Col du Donon,V,,Schirmeck,8.5,5,,726,3,2,,,
520,N,12934221,Col du Hundsruck,V,,Masevaux,8.2,4,,,2,2,,,
528,N,,Col du Mont de Fourche,V,,,,,,,,,,,
,,,,,,,,,,,,,,,
507,Y,9936699,Champ du Feu,V,,Ville,11.9,7,776,1100,n/a,1,,,
527,Y,2221142,Struthof,V,,,,,,,n/a,1,,,
,,,,,,,,,,,,,,,
521,Y,662670,La Planche des Belles Filles,V,,Plancher-les-Mines,5.1,9,,,n/a,1,,,
508,Y,7602007,Chevreres,V,,Miellin,4.4,7,,893,,1,1,,"once 2014, longer extended ascent from Servance - see Strava file"
524,N,10209552,Col des Croix,V,,Servance,5.2,5,,,n/a,3,,,
523,Y,4344122,Le Col d'Oderen,V,,Kruth,6.4,5,,,2,2,,,http://www.ledicodutour.com/montagnes/cols__o/oderen.htm
526,Y,8016938,Col du Platzerwasel,V,,Sondernach,6.6,8,,,2,1,,,
525,Y,15803230,Le Petit Ballon,V,,Munster,10.6,7,,,n/a,1,1,,
512,Y,12172660,Col du Firstplan,V,,Soultzmatt,8.2,5,,738,2,2,,,http://www.ledicodutour.com/montagnes/cols__f/firstplan.html - See profile linking Tdf route
529,N,,Cote d'Esmoulieres,V,,,,,,,,,,,
,,,,,,,,,,,,,,,
516,Y,14913913,Col de la Schlucht,V,,Xonrupt-Longemer,8.8,4,,1142,2,2,,,
517,N,1410629,Col du Wettstein,V,,Orbay,7.6,4,,899,,3,,,Cat 3 in 2014
518,N,2283295,Cote des Cinq Chateaux,V,,Turckheim,4.8,7,,527,,3,,,Cat 3 in 2014
519,N,15490498,Cote de Gueberschwihr,V,,Gueberschwihr,6.1,6,,,n/a,2,,,http://www.cyclingnews.com/races/tour-de-france-2014/stage-9/preview/
522,Y,4088633,Le Markstein,V,,Linthal,14,5,,,n/a,1,,,http://www.ledicodutour.com/montagnes/cols__m/markstein.htm
513,Y,4343461,Le Grand Ballon,V,,Moosch,11.5,8,,1313,3,1,,,Do a different one with Mary?
502,Y,1361874,Col Amic,V,,Soulz,10.8,5,,811,2,n/a,,,"6 passages, only categorised once in '52"
,,,,,,,,,,,,,,,
511,N,10238643,Col de la Croix des Moinats,V,,Vagney,9.1,5,,889,n/a,2,1,,
514,N,6875309,Col de la Grosse Pierre,V,,Bresse,5.2,6,,957,3,2,,,http://www.ledicodutour.com/montagnes/cols__g/grosse_pierre.htm
515,N,7396224,Gerardmer - La Mauselaine,V,,Gerardmer,1.6,11,,,n/a,3,,,
